name,x,y,z,yaw,pitch,row
center,-2.5000,1.6500,1.4500,-33.9126,7.7346,-0.0000
v0,-2.6004,1.4765,1.5491,-33.9126,7.7346,-0.0000
v1,-2.5446,1.5595,1.5491,-33.9126,7.7346,-0.0000
v2,-2.4888,1.6425,1.5491,-33.9126,7.7346,-0.0000
v3,-2.4330,1.7255,1.5491,-33.9126,7.7346,-0.0000
v4,-2.3772,1.8085,1.5491,-33.9126,7.7346,-0.0000
v5,-2.6116,1.4840,1.4500,-33.9126,7.7346,-0.0000
v6,-2.5558,1.5670,1.4500,-33.9126,7.7346,-0.0000
v7,-2.5000,1.6500,1.4500,-33.9126,7.7346,-0.0000
v8,-2.4442,1.7330,1.4500,-33.9126,7.7346,-0.0000
v9,-2.3884,1.8160,1.4500,-33.9126,7.7346,-0.0000
v10,-2.6228,1.4915,1.3509,-33.9126,7.7346,-0.0000
v11,-2.5670,1.5745,1.3509,-33.9126,7.7346,-0.0000
v12,-2.5112,1.6575,1.3509,-33.9126,7.7346,-0.0000
v13,-2.4554,1.7405,1.3509,-33.9126,7.7346,-0.0000
v14,-2.3996,1.8235,1.3509,-33.9126,7.7346,-0.0000
v15,-2.6116,1.4840,1.4500,-33.9126,7.7346,-0.0000
v16,-2.5558,1.5670,1.4500,-33.9126,7.7346,-0.0000
v17,-2.5000,1.6500,1.4500,-33.9126,7.7346,-0.0000
v18,-2.4442,1.7330,1.4500,-33.9126,7.7346,-0.0000
v19,-2.3884,1.8160,1.4500,-33.9126,7.7346,-0.0000
v20,-2.6228,1.4915,1.3509,-33.9126,7.7346,-0.0000
v21,-2.5670,1.5745,1.3509,-33.9126,7.7346,-0.0000
v22,-2.5112,1.6575,1.3509,-33.9126,7.7346,-0.0000
v23,-2.4554,1.7405,1.3509,-33.9126,7.7346,-0.0000
v24,-2.3996,1.8235,1.3509,-33.9126,7.7346,-0.0000
