name,x,y,z,yaw,pitch,row
center,0,0,0,0,0,0
v0,0,2,5,-90,-60,0
v1,2,0,5,0,-60,0
v2,0,-2,5,90,-60,0
v3,0,2.75,4,-90,-45,0
v4,1.62,2.22,4,-54,-45,0
v5,2.62,0.85,4,-18,-45,0
v6,2.62,-0.85,4,18,-45,0
v7,1.62,-2.22,4,54,-45,0
v8,0,-2.75,4,90,-45,0
v9,0,4,2.5,-90,-25,0
v10,1.04,3.86,2.5,-75,-25,0
v11,2,3.46,2.5,-60,-25,0
v12,2.83,2.83,2.5,-45,-25,0
v13,3.46,2,2.5,-30,-25,0
v14,3.86,1.04,2.5,-15,-25,0
v15,4,0,2.5,0,-25,0
v16,3.86,-1.04,2.5,15,-25,0
v17,3.46,-2,2.5,30,-25,0
v18,2.83,-2.83,2.5,45,-25,0
v19,2,-3.46,2.5,60,-25,0
v20,1.04,-3.86,2.5,75,-25,0
v20,0,-4,2.5,90,-25,0
