name,x,y,z,yaw,pitch,row
center,0.0,0.0,0.0,0.0,0.0,0.0
v0,2.8284,0,1.0000,180.0000,0.0000,180.0000
v1,2.6131,1.0824,1.0000,-157.5000,0.0000,180.0000
v2,2.0000,2.0000,1.0000,-135.0000,0.0000,180.0000
v3,1.0824,2.6131,1.0000,-112.5000,0.0000,180.0000
v4,0,2.8284,1.0000,-90.0000,0.0000,180.0000
v5,-1.0824,2.6131,1.0000,-67.5000,0.0000,180.0000
v6,-2.0000,2.0000,1.0000,-45.0000,0.0000,180.0000
v7,-2.6131,1.0824,1.0000,-22.5000,0.0000,180.0000
v8,-2.8284,0,1.0000,0.0000,0.0000,180.0000
v9,-2.6131,-1.0824,1.0000,22.5000,0.0000,180.0000
v10,-2.0000,-2.0000,1.0000,45.0000,0.0000,180.0000
v11,-1.0824,-2.6131,1.0000,67.5000,0.0000,180.0000
v12,0,-2.8284,1.0000,90.0000,0.0000,180.0000
v13,1.0824,-2.6131,1.0000,112.5000,0.0000,180.0000
v14,2.0000,-2.0000,1.0000,135.0000,0.0000,180.0000
v15,2.6131,-1.0824,1.0000,157.5000,0.0000,180.0000
