X,Y,Z,Yaw,Pitch,Roll
0.206723,-0.248059,0.001762,-81.715508,15.064445,-2.567749
0.205657,-0.25066,0.001379,-82.307877,15.142118,-2.667694
0.203187,-0.255333,0.000642,-83.60051,15.213255,-2.760224
0.201547,-0.257013,0.000575,-84.301048,15.228145,-2.825165
0.197202,-0.260667,0.000191,-86.072144,15.260738,-3.016175
0.194516,-0.261942,0.000265,-87.124901,15.251033,-3.074921
0.187531,-0.264358,0.000253,-89.764175,15.225215,-3.30481
0.183238,-0.2651,0.000247,-91.378342,15.188878,-3.513673
0.173515,-0.266574,-8e-05,-94.855247,15.200073,-3.760498
0.168074,-0.266982,-0.000283,-96.758026,15.221554,-3.891422
0.156446,-0.267252,-0.000832,-100.652725,15.293271,-4.229861
0.150486,-0.267301,-0.001257,-102.563713,15.321554,-4.355652
0.138131,-0.266725,-0.002022,-106.275124,15.381954,-4.600679
0.132071,-0.266345,-0.002426,-108.030914,15.350125,-4.684298
0.119882,-0.264891,-0.003137,-111.40918,15.281919,-4.867373
0.113911,-0.26398,-0.003486,-112.993538,15.235556,-4.980929
0.102393,-0.261632,-0.004005,-115.887718,15.186003,-5.205297
0.096914,-0.260794,-0.004542,-117.240028,15.181024,-5.300662
0.086179,-0.259042,-0.005692,-119.61087,15.410122,-5.491885
0.081152,-0.258327,-0.006481,-120.647362,15.538147,-5.520815
0.071581,-0.257164,-0.007868,-122.43795,15.772367,-5.628635
0.067074,-0.256628,-0.008679,-123.150177,15.955656,-5.658695
0.058638,-0.255574,-0.0105,-124.440765,16.446159,-5.698366
0.054664,-0.255124,-0.011271,-125.055283,16.64657,-5.707918
0.046948,-0.253959,-0.012254,-126.202179,16.805605,-5.700689
0.043284,-0.253263,-0.01254,-126.758934,16.857227,-5.694125
0.03642,-0.250786,-0.012451,-127.885178,16.780121,-5.590794
0.033166,-0.249506,-0.012055,-128.42717,16.629332,-5.521212
0.027096,-0.245373,-0.010304,-129.58934,16.105278,-5.461825
0.024259,-0.243254,-0.008994,-130.183136,15.72067,-5.414492
0.019258,-0.237855,-0.005338,-131.411362,14.633509,-5.234196
0.017124,-0.234813,-0.003061,-132.069153,13.923368,-5.148257
0.013334,-0.228512,0.002196,-133.386368,12.311306,-5.041871
0.011914,-0.22496,0.005241,-134.036285,11.420773,-5.008151
0.01009,-0.2181,0.011251,-135.254288,9.645435,-4.913209
0.009746,-0.214549,0.014341,-135.78244,8.74982,-4.863924
0.009903,-0.207843,0.020815,-136.691696,6.846984,-4.829501
0.010399,-0.204099,0.02411,-137.070953,5.881988,-4.793795
0.012424,-0.197648,0.030332,-137.706573,3.966093,-4.673707
0.013861,-0.19426,0.033424,-137.942581,2.968229,-4.624757
0.017308,-0.188204,0.03968,-138.158447,0.937532,-4.514863
0.019428,-0.185379,0.042838,-138.196487,-0.117602,-4.51935
0.02375,-0.179436,0.049003,-138.36377,-2.187552,-4.540865
0.026248,-0.176464,0.051953,-138.431808,-3.117804,-4.497285
0.031266,-0.17077,0.057112,-138.488327,-4.929019,-4.361757
0.036378,-0.164808,0.061731,-138.589508,-6.546681,-4.211061
0.038925,-0.16208,0.063698,-138.660614,-7.296759,-4.102326
0.041418,-0.159171,0.065772,-138.746628,-8.035786,-4.005036
0.046248,-0.153615,0.069572,-138.991043,-9.411604,-3.810395
0.051016,-0.147738,0.07359,-139.289459,-10.875566,-3.533875
