t,x,y,z,roll,pitch,yaw,valid
2.733332,0.206723,0.248059,-0.001762,-2.567749,-15.064445,81.715508,1
2.766665,0.205657,0.25066,-0.001379,-2.667694,-15.142118,82.307877,1
2.799999,0.203187,0.255333,-0.000642,-2.760224,-15.213255,83.60051,1
2.833332,0.201547,0.257013,-0.000575,-2.825165,-15.228145,84.301048,1
2.866665,0.197202,0.260667,-0.000191,-3.016175,-15.260738,86.072144,1
2.899999,0.194516,0.261942,-0.000265,-3.074921,-15.251033,87.124901,1
2.933332,0.187531,0.264358,-0.000253,-3.30481,-15.225215,89.764175,1
2.966665,0.183238,0.2651,-0.000247,-3.513673,-15.188878,91.378342,1
2.999999,0.173515,0.266574,0.00008,-3.760498,-15.200073,94.855247,1
3.033332,0.168074,0.266982,0.000283,-3.891422,-15.221554,96.758026,1
3.066665,0.156446,0.267252,0.000832,-4.229861,-15.293271,100.652725,1
3.099998,0.150486,0.267301,0.001257,-4.355652,-15.321554,102.563713,1
3.133332,0.138131,0.266725,0.002022,-4.600679,-15.381954,106.275124,1
3.166665,0.132071,0.266345,0.002426,-4.684298,-15.350125,108.030914,1
3.199998,0.119882,0.264891,0.003137,-4.867373,-15.281919,111.40918,1
3.233332,0.113911,0.26398,0.003486,-4.980929,-15.235556,112.993538,1
3.266665,0.102393,0.261632,0.004005,-5.205297,-15.186003,115.887718,1
3.299998,0.096914,0.260794,0.004542,-5.300662,-15.181024,117.240028,1
3.333332,0.086179,0.259042,0.005692,-5.491885,-15.410122,119.61087,1
3.366665,0.081152,0.258327,0.006481,-5.520815,-15.538147,120.647362,1
3.399998,0.071581,0.257164,0.007868,-5.628635,-15.772367,122.43795,1
3.433331,0.067074,0.256628,0.008679,-5.658695,-15.955656,123.150177,1
3.466665,0.058638,0.255574,0.0105,-5.698366,-16.446159,124.440765,1
3.499998,0.054664,0.255124,0.011271,-5.707918,-16.64657,125.055283,1
3.533331,0.046948,0.253959,0.012254,-5.700689,-16.805605,126.202179,1
3.566665,0.043284,0.253263,0.01254,-5.694125,-16.857227,126.758934,1
3.599998,0.03642,0.250786,0.012451,-5.590794,-16.780121,127.885178,1
3.633331,0.033166,0.249506,0.012055,-5.521212,-16.629332,128.42717,1
3.666665,0.027096,0.245373,0.010304,-5.461825,-16.105278,129.58934,1
3.699998,0.024259,0.243254,0.008994,-5.414492,-15.72067,130.183136,1
3.733331,0.019258,0.237855,0.005338,-5.234196,-14.633509,131.411362,1
3.766665,0.017124,0.234813,0.003061,-5.148257,-13.923368,132.069153,1
3.799998,0.013334,0.228512,-0.002196,-5.041871,-12.311306,133.386368,1
3.833331,0.011914,0.22496,-0.005241,-5.008151,-11.420773,134.036285,1
3.866664,0.01009,0.2181,-0.011251,-4.913209,-9.645435,135.254288,1
3.899998,0.009746,0.214549,-0.014341,-4.863924,-8.74982,135.78244,1
3.933331,0.009903,0.207843,-0.020815,-4.829501,-6.846984,136.691696,1
3.966664,0.010399,0.204099,-0.02411,-4.793795,-5.881988,137.070953,1
3.999998,0.012424,0.197648,-0.030332,-4.673707,-3.966093,137.706573,1
4.033331,0.013861,0.19426,-0.033424,-4.624757,-2.968229,137.942581,1
4.066664,0.017308,0.188204,-0.03968,-4.514863,-0.937532,138.158447,1
4.099998,0.019428,0.185379,-0.042838,-4.51935,0.117602,138.196487,1
4.133331,0.02375,0.179436,-0.049003,-4.540865,2.187552,138.36377,1
4.166664,0.026248,0.176464,-0.051953,-4.497285,3.117804,138.431808,1
4.199997,0.031266,0.17077,-0.057112,-4.361757,4.929019,138.488327,1
4.233331,0.036378,0.164808,-0.061731,-4.211061,6.546681,138.589508,1
4.266664,0.038925,0.16208,-0.063698,-4.102326,7.296759,138.660614,1
4.299997,0.041418,0.159171,-0.065772,-4.005036,8.035786,138.746628,1
4.333331,0.046248,0.153615,-0.069572,-3.810395,9.411604,138.991043,1
4.366664,0.051016,0.147738,-0.07359,-3.533875,10.875566,139.289459,1
4.399997,0.053373,0.145031,-0.075174,-3.434479,11.571392,139.472672,1
4.433331,0.058082,0.139322,-0.078352,-3.253541,12.790348,139.736893,1
4.466664,0.060383,0.136735,-0.079439,-3.144715,13.331299,139.844681,1
4.499997,0.062615,0.134144,-0.080532,-3.057953,13.832355,139.978653,1
4.53333,0.066885,0.128777,-0.082657,-2.850556,14.795685,140.215164,1
4.566664,0.071233,0.123531,-0.084811,-2.672546,15.73778,140.285706,1
4.599997,0.073456,0.121033,-0.085459,-2.590943,16.158983,140.280579,1
4.63333,0.077929,0.115664,-0.087505,-2.395813,17.101946,140.13678,1
4.666664,0.080294,0.113352,-0.088177,-2.274292,17.566597,140.00676,1
4.699997,0.084869,0.108266,-0.089556,-2.114899,18.327486,139.549179,1
4.73333,0.087212,0.106234,-0.089901,-2.083617,18.644203,139.265396,1
4.766664,0.091819,0.102148,-0.090781,-2.009979,19.196798,138.557022,1
4.799997,0.094114,0.10039,-0.090995,-1.961792,19.398897,138.165466,1
4.83333,0.098642,0.096653,-0.09177,-1.885467,19.766779,137.22757,1
4.866663,0.100905,0.09513,-0.091797,-1.865082,19.927656,136.712769,1
4.899997,0.105334,0.092287,-0.091927,-1.814728,20.190155,135.499496,1
4.93333,0.107662,0.091282,-0.091847,-1.688262,20.241783,134.821182,1
4.966663,0.110072,0.090285,-0.091996,-1.585418,20.307531,134.0457,1
4.999997,0.115089,0.089361,-0.092001,-1.573792,20.322557,132.096344,1
5.03333,0.12041,0.08868,-0.091618,-1.675536,20.162191,129.732132,1
5.066663,0.123209,0.088599,-0.091178,-1.758452,20.095514,128.464233,1
5.099997,0.128816,0.088333,-0.09078,-2.045013,19.999695,125.742256,1
5.13333,0.131704,0.08813,-0.090553,-2.192717,19.910669,124.359215,1
5.166663,0.13725,0.087213,-0.090182,-2.22647,19.802452,121.721176,1
5.199996,0.139896,0.086295,-0.090172,-2.196472,19.845852,120.516876,1
5.23333,0.144677,0.084116,-0.090368,-2.139924,20.077839,118.320702,1
5.266663,0.146771,0.08286,-0.090508,-2.019836,20.210188,117.313332,1
5.299996,0.150308,0.080063,-0.090971,-1.666017,20.627464,115.625046,1
5.33333,0.152005,0.078396,-0.091282,-1.483368,20.89012,114.846512,1
5.366663,0.155251,0.07532,-0.092112,-1.132294,21.488129,113.253571,1
5.399996,0.156774,0.073858,-0.092462,-1.003173,21.770142,112.440826,1
5.43333,0.15987,0.070996,-0.093102,-0.726928,22.276407,110.664543,1
5.466663,0.161373,0.069574,-0.093467,-0.573945,22.53657,109.760551,1
5.499996,0.164257,0.066641,-0.094158,-0.405944,22.988483,107.838837,1
5.533329,0.165772,0.065251,-0.094386,-0.334351,23.142933,106.858688,1
5.566663,0.168718,0.06249,-0.09508,-0.210723,23.577866,104.776321,1
5.599996,0.170195,0.061254,-0.095515,-0.200377,23.924553,103.704521,1
5.633329,0.173324,0.05889,-0.096949,-0.355253,24.782425,101.334549,1
5.666663,0.175034,0.058005,-0.097362,-0.55176,25.143072,100.043091,1
5.699996,0.178861,0.056467,-0.097782,-1.143432,25.540583,97.296379,1
